"Kod";"Nazwa";"ogółem;kwota;2004;[zł]";"ogółem;kwota;2005;[zł]";"ogółem;kwota;2006;[zł]";"ogółem;kwota;2007;[zł]";"ogółem;kwota;2008;[zł]";"ogółem;kwota;2009;[zł]";"ogółem;kwota;2010;[zł]";"ogółem;kwota;2011;[zł]";"ogółem;kwota;2012;[zł]";"ogółem;kwota;2013;[zł]";"ogółem;kwota;2014;[zł]";"ogółem;kwota;2015;[zł]";"ogółem;kwota;2016;[zł]";"ogółem;kwota;2017;[zł]";"ogółem;kwota;2018;[zł]";"ogółem;kwota;2019;[zł]";"ogółem;kwota;2020;[zł]";"ogółem;kwota;2021;[zł]";
0000000;"POLSKA";1377637918;1239530860;1168118745;1047260852;833665844;806994717;865750968;884334117;929923891;982272977;970983910;894441884;817175474;746760210;664796229;595775935;580759515;;
0200000;"DOLNOŚLĄSKIE";113927656;102148619;93972377;81142504;62806781;59710585;63237767;64652607;65653122;68003712;64910913;58160416;52651589;48041305;42151644;37095361;35401975;;
0400000;"KUJAWSKO-POMORSKIE";111157844;102645521;95715807;87232403;71263244;68102138;71869531;73914236;75743549;80859144;80955614;74389237;68744019;64830265;59303584;54430011;53031754;;
0600000;"LUBELSKIE";63775311;58680917;55663858;51934701;43483952;40612182;41661483;41779404;41693483;41502616;39666818;35649901;32210370;28451193;23933827;20603884;18550915;;
0800000;"LUBUSKIE";50562829;42210354;38502756;33696233;25637337;25091455;27577200;27769029;28357828;29318173;28765729;25766035;23570352;21400198;19025309;17149083;17298261;;
1000000;"ŁÓDZKIE";85550073;79427281;81592190;69079846;53204091;49344514;52885846;55222894;60595420;66539045;68243625;62038756;56843615;51291783;46506597;42408313;41028311;;
1200000;"MAŁOPOLSKIE";62628868;56381295;54795947;50306849;40723981;40675072;43634682;43239558;49221384;52444040;51767817;48545374;44673471;41063071;36043519;31902018;31370714;;
1400000;"MAZOWIECKIE";112407951;106889273;101606124;92772714;76884549;77076120;84144089;85567581;93092969;99457004;99426169;95216387;86977413;79708593;68949472;60080109;59663351;;
1600000;"OPOLSKIE";35328587;30374938;27321070;23114072;17959151;16693943;17903063;17976181;17995132;18897323;18360657;16586237;15348407;14218505;12407834;11124086;10725037;;
1800000;"PODKARPACKIE";51176392;48347901;44133207;41418498;32847925;32266607;33213051;33011326;32344906;33628687;33290112;30323864;26473860;23517637;20419491;18362500;18719027;;
2000000;"PODLASKIE";54233649;46477608;43180381;40199382;32802534;32182650;34921897;34147169;34714229;36230637;34826172;30898841;28216217;25707252;22230459;19477656;18454006;;
2200000;"POMORSKIE";88164919;78897761;71738098;63216435;51180276;48823226;54250233;58490315;64773635;68919077;67712999;62185953;55633499;50599673;46151987;41891404;42027503;;
2400000;"ŚLĄSKIE";232606203;209149116;196576609;175433199;136790177;137096895;145995042;150323250;158575145;166276448;166404652;157776584;149089464;137061922;124218600;110448591;105672619;;
2600000;"ŚWIĘTOKRZYSKIE";27599261;24661692;23219239;20439583;14841485;13500796;14390899;14671040;15256889;16569022;16741447;15014325;13111782;11279374;9460951;8096468;7794602;;
2800000;"WARMIŃSKO-MAZURSKIE";80927346;67814848;62175889;56510394;47327567;45521105;47717480;47961567;49258097;53549340;50829279;45285246;40085445;36262945;32389359;29590259;28408641;;
3000000;"WIELKOPOLSKIE";113408620;105287694;106351133;94361797;73707886;71522253;79768676;82139421;86655583;92804252;93176238;86208985;77848478;71834173;64965205;60510976;60984594;;
3200000;"ZACHODNIOPOMORSKIE";94182409;80136042;71574060;66402242;52204908;48775176;52580029;53468539;55992520;57274457;55905669;50395743;45697493;41492321;36638391;32605216;31628205;;
